County,Year,Quarter,Period,transaction_count,avg_price
"Armagh City, Banbridge and Craigavon",2024,4,2024 Q4,761.0,201021.8522
"Armagh City, Banbridge and Craigavon",2025,1,2025 Q1,716.0,203214.7565
"Armagh City, Banbridge and Craigavon",2025,2,2025 Q2,558.0,202372.9152
"Armagh City, Banbridge and Craigavon",2025,3,2025 Q3,670.0,202232.29499999998
Belfast,2010,1,2010 Q1,599.0,136522.8081
Belfast,2010,2,2010 Q2,604.0,140400.144
Belfast,2010,3,2010 Q3,534.0,138804.9405
Belfast,2010,4,2010 Q4,606.0,124298.70049999999
Belfast,2011,1,2011 Q1,585.0,118103.547
Belfast,2011,2,2011 Q2,573.0,114613.22720000001
Belfast,2011,3,2011 Q3,677.0,114030.26180000001
Belfast,2011,4,2011 Q4,714.0,112832.654
Belfast,2012,1,2012 Q1,744.0,105676.53899999999
Belfast,2012,2,2012 Q2,700.0,110886.152
Belfast,2012,3,2012 Q3,788.0,111694.6695
Belfast,2012,4,2012 Q4,797.0,105563.69279999999
Belfast,2013,1,2013 Q1,729.0,97353.50970000001
Belfast,2013,2,2013 Q2,816.0,100465.6004
Belfast,2013,3,2013 Q3,907.0,103519.7944
Belfast,2013,4,2013 Q4,0.0,107145.546
Belfast,2014,1,2014 Q1,994.0,109558.9458
Belfast,2014,2,2014 Q2,0.0,116766.2356
Belfast,2014,3,2014 Q3,0.0,122813.7921
Belfast,2014,4,2014 Q4,0.0,125515.12469999999
Belfast,2015,1,2015 Q1,962.0,134119.7523
Belfast,2015,2,2015 Q2,0.0,141559.2519
Belfast,2015,3,2015 Q3,0.0,148246.4753
Belfast,2015,4,2015 Q4,0.0,147670.49980000002
Belfast,2016,1,2016 Q1,0.0,135798.1353
Belfast,2016,2,2016 Q2,0.0,142727.2932
Belfast,2016,3,2016 Q3,0.0,131695.01909999998
Belfast,2016,4,2016 Q4,0.0,129269.693
Belfast,2017,1,2017 Q1,0.0,128314.40930000001
Belfast,2017,2,2017 Q2,0.0,131490.4529
Belfast,2017,3,2017 Q3,0.0,128773.3776
Belfast,2017,4,2017 Q4,0.0,129565.3275
Belfast,2018,1,2018 Q1,0.0,131316.5012
Belfast,2018,2,2018 Q2,0.0,134889.5716
Belfast,2018,3,2018 Q3,0.0,136179.6191
Belfast,2018,4,2018 Q4,0.0,139840.4425
Belfast,2019,1,2019 Q1,959.0,139267.7856
Belfast,2019,2,2019 Q2,0.0,140158.4724
Belfast,2019,3,2019 Q3,0.0,139783.4984
Belfast,2019,4,2019 Q4,0.0,144860.6128
Belfast,2020,1,2020 Q1,0.0,147056.904
Belfast,2020,2,2020 Q2,329.0,144028.3144
Belfast,2020,3,2020 Q3,960.0,142801.6956
Belfast,2020,4,2020 Q4,0.0,147346.254
Belfast,2021,1,2021 Q1,0.0,154284.17
Belfast,2021,2,2021 Q2,0.0,160091.8332
Belfast,2021,3,2021 Q3,0.0,165805.2693
Belfast,2021,4,2021 Q4,0.0,164632.2061
Belfast,2022,1,2022 Q1,0.0,172007.3014
Belfast,2022,2,2022 Q2,0.0,173701.472
Belfast,2022,3,2022 Q3,0.0,180468.564
Belfast,2022,4,2022 Q4,0.0,174613.464
Belfast,2023,1,2023 Q1,0.0,169185.3075
Belfast,2023,2,2023 Q2,0.0,171442.793
Belfast,2023,3,2023 Q3,0.0,182102.982
Belfast,2023,4,2023 Q4,0.0,176781.451
Belfast,2024,1,2024 Q1,922.0,180978.71219999998
Belfast,2024,2,2024 Q2,0.0,185667.6726
Belfast,2024,3,2024 Q3,0.0,197972.3295
Belfast,2024,4,2024 Q4,0.0,203419.8466
Belfast,2025,1,2025 Q1,0.0,203463.6285
Belfast,2025,2,2025 Q2,905.0,201835.9296
Belfast,2025,3,2025 Q3,0.0,204925.26419999998
Carlow,2010,1,2010 Q1,40.0,171800.52475
Carlow,2010,2,2010 Q2,44.0,179575.79545454544
Carlow,2010,3,2010 Q3,63.0,179927.91428571427
Carlow,2010,4,2010 Q4,84.0,168287.5163095238
Carlow,2011,1,2011 Q1,41.0,164626.9363414634
Carlow,2011,2,2011 Q2,43.0,142126.70488372093
Carlow,2011,3,2011 Q3,50.0,125455.7892
Carlow,2011,4,2011 Q4,49.0,126370.92938775511
Carlow,2012,1,2012 Q1,40.0,117574.93925000001
Carlow,2012,2,2012 Q2,55.0,105920.96290909091
Carlow,2012,3,2012 Q3,71.0,118253.62577464788
Carlow,2012,4,2012 Q4,100.0,99326.06800000001
Carlow,2013,1,2013 Q1,48.0,151397.86
Carlow,2013,2,2013 Q2,90.0,116553.87344444444
Carlow,2013,3,2013 Q3,88.0,97916.38636363637
Carlow,2013,4,2013 Q4,149.0,106024.13919463087
Carlow,2014,1,2014 Q1,67.0,105585.9495522388
Carlow,2014,2,2014 Q2,92.0,101484.60652173914
Carlow,2014,3,2014 Q3,119.0,118390.86857142857
Carlow,2014,4,2014 Q4,160.0,121730.72549999999
Carlow,2015,1,2015 Q1,109.0,128668.05348623854
Carlow,2015,2,2015 Q2,111.0,120477.10234234233
Carlow,2015,3,2015 Q3,135.0,127871.47829629629
Carlow,2015,4,2015 Q4,174.0,128651.86908045976
Carlow,2016,1,2016 Q1,118.0,124289.0279661017
Carlow,2016,2,2016 Q2,101.0,137145.84445544553
Carlow,2016,3,2016 Q3,150.0,139832.74673333333
Carlow,2016,4,2016 Q4,166.0,146138.81054216868
Carlow,2017,1,2017 Q1,106.0,144878.87433962265
Carlow,2017,2,2017 Q2,143.0,137434.43300699303
Carlow,2017,3,2017 Q3,123.0,164323.64463414633
Carlow,2017,4,2017 Q4,164.0,147479.7668902439
Carlow,2018,1,2018 Q1,147.0,155465.71238095238
Carlow,2018,2,2018 Q2,147.0,164516.47306122447
Carlow,2018,3,2018 Q3,163.0,190328.97773006136
Carlow,2018,4,2018 Q4,228.0,170522.58907894738
Carlow,2019,1,2019 Q1,134.0,167491.18746268656
Carlow,2019,2,2019 Q2,155.0,178607.76903225805
Carlow,2019,3,2019 Q3,197.0,171214.54324873097
Carlow,2019,4,2019 Q4,191.0,180772.16036649217
Carlow,2020,1,2020 Q1,143.0,169621.86174825174
Carlow,2020,2,2020 Q2,87.0,156267.60206896553
Carlow,2020,3,2020 Q3,106.0,218584.43150943395
Carlow,2020,4,2020 Q4,188.0,256917.13265957445
Carlow,2021,1,2021 Q1,168.0,170155.01458333334
Carlow,2021,2,2021 Q2,130.0,220704.36376923075
