County,Year,Quarter,Period,transaction_count,avg_price,Inflation_Rate,real_avg_price
Antrim and Newtownabbey,2010,1,2010 Q1,217.0,148341.74,3.28,143630.65
Antrim and Newtownabbey,2010,2,2010 Q2,245.0,152846.09,3.46,147734.48
Antrim and Newtownabbey,2010,3,2010 Q3,269.0,156920.99,3.09,152217.47
Antrim and Newtownabbey,2010,4,2010 Q4,270.0,138840.47,3.38,134301.09
Antrim and Newtownabbey,2011,1,2011 Q1,205.0,134269.2,4.12,128956.2
Antrim and Newtownabbey,2011,2,2011 Q2,224.0,131161.5,4.38,125657.69
Antrim and Newtownabbey,2011,3,2011 Q3,283.0,132028.32,4.71,126089.5
Antrim and Newtownabbey,2011,4,2011 Q4,252.0,125074.49,4.65,119516.95
Antrim and Newtownabbey,2012,1,2012 Q1,317.0,121151.57,3.49,117065.97
Antrim and Newtownabbey,2012,2,2012 Q2,275.0,125496.51,2.76,122125.84
Antrim and Newtownabbey,2012,3,2012 Q3,304.0,127982.4,2.41,124970.61
Antrim and Newtownabbey,2012,4,2012 Q4,343.0,122768.78,2.67,119576.1
Antrim and Newtownabbey,2013,1,2013 Q1,291.0,112434.74,2.78,109393.6
Antrim and Newtownabbey,2013,2,2013 Q2,330.0,114803.22,2.68,111806.8
Antrim and Newtownabbey,2013,3,2013 Q3,359.0,115157.55,2.71,112119.12
Antrim and Newtownabbey,2013,4,2013 Q4,383.0,118065.32,2.1,115636.94
Antrim and Newtownabbey,2014,1,2014 Q1,404.0,122075.21,1.74,119987.43
Antrim and Newtownabbey,2014,2,2014 Q2,486.0,128030.07,1.72,125865.19
Antrim and Newtownabbey,2014,3,2014 Q3,471.0,134305.34,1.46,132372.7
Antrim and Newtownabbey,2014,4,2014 Q4,479.0,135749.49,0.94,134485.33
Antrim and Newtownabbey,2015,1,2015 Q1,385.0,144855.15,0.1,144710.44
Antrim and Newtownabbey,2015,2,2015 Q2,478.0,155286.39,-0.02,155317.45
Antrim and Newtownabbey,2015,3,2015 Q3,571.0,158381.46,0.01,158365.62
Antrim and Newtownabbey,2015,4,2015 Q4,542.0,159156.55,0.07,159045.22
Antrim and Newtownabbey,2016,1,2016 Q1,538.0,146682.7,0.35,146171.1
Antrim and Newtownabbey,2016,2,2016 Q2,402.0,152246.17,0.35,151715.17
Antrim and Newtownabbey,2016,3,2016 Q3,570.0,144100.28,0.73,143055.97
Antrim and Newtownabbey,2016,4,2016 Q4,545.0,141085.23,1.21,139398.51
Antrim and Newtownabbey,2017,1,2017 Q1,509.0,140716.93,2.14,137768.68
Antrim and Newtownabbey,2017,2,2017 Q2,634.0,144885.98,2.74,141021.98
Antrim and Newtownabbey,2017,3,2017 Q3,600.0,139534.02,2.82,135707.08
Antrim and Newtownabbey,2017,4,2017 Q4,667.0,139097.77,3.02,135020.16
Antrim and Newtownabbey,2018,1,2018 Q1,443.0,141632.67,2.72,137882.27
Antrim and Newtownabbey,2018,2,2018 Q2,590.0,144597.45,2.42,141180.87
Antrim and Newtownabbey,2018,3,2018 Q3,647.0,145916.26,2.52,142329.56
Antrim and Newtownabbey,2018,4,2018 Q4,647.0,148739.8,2.27,145438.35
Antrim and Newtownabbey,2019,1,2019 Q1,499.0,149342.5,1.88,146586.67
Antrim and Newtownabbey,2019,2,2019 Q2,564.0,149173.47,2.05,146176.84
Antrim and Newtownabbey,2019,3,2019 Q3,618.0,150065.22,1.83,147368.38
Antrim and Newtownabbey,2019,4,2019 Q4,573.0,158287.5,1.41,156086.68
Antrim and Newtownabbey,2020,1,2020 Q1,493.0,158091.05,1.67,155494.3
Antrim and Newtownabbey,2020,2,2020 Q2,198.0,154565.21,0.62,153612.81
Antrim and Newtownabbey,2020,3,2020 Q3,418.0,153300.46,0.6,152386.14
Antrim and Newtownabbey,2020,4,2020 Q4,756.0,156183.48,0.53,155360.07
Antrim and Newtownabbey,2021,1,2021 Q1,655.0,164443.76,0.61,163446.73
Antrim and Newtownabbey,2021,2,2021 Q2,727.0,171993.7,2.05,168538.66
Antrim and Newtownabbey,2021,3,2021 Q3,763.0,177641.24,2.77,172853.21
Antrim and Newtownabbey,2021,4,2021 Q4,603.0,179625.46,4.91,171218.63
Antrim and Newtownabbey,2022,1,2022 Q1,506.0,185774.72,6.22,174896.18
Antrim and Newtownabbey,2022,2,2022 Q2,559.0,192168.57,9.17,176026.9
Antrim and Newtownabbey,2022,3,2022 Q3,582.0,197001.24,10.02,179059.48
Antrim and Newtownabbey,2022,4,2022 Q4,676.0,193622.67,10.75,174828.6
Antrim and Newtownabbey,2023,1,2023 Q1,459.0,187983.68,10.18,170615.07
Antrim and Newtownabbey,2023,2,2023 Q2,482.0,192011.56,8.43,177083.43
Antrim and Newtownabbey,2023,3,2023 Q3,553.0,201799.98,6.71,189110.66
Antrim and Newtownabbey,2023,4,2023 Q4,574.0,197894.16,4.18,189954.08
Antrim and Newtownabbey,2024,1,2024 Q1,451.0,202637.14,3.54,195709.04
Antrim and Newtownabbey,2024,2,2024 Q2,511.0,209440.2,2.1,205132.42
Antrim and Newtownabbey,2024,3,2024 Q3,631.0,217966.38,2.04,213608.76
Antrim and Newtownabbey,2024,4,2024 Q4,613.0,223921.74,2.47,218524.19
Antrim and Newtownabbey,2025,1,2025 Q1,599.0,227086.13,2.8,220900.9
Antrim and Newtownabbey,2025,2,2025 Q2,437.0,223124.58,3.49,215600.14
Antrim and Newtownabbey,2025,3,2025 Q3,530.0,226448.25,3.8,218158.24
Ards and North Down,2010,1,2010 Q1,286.0,177829.33,3.28,172181.77
Ards and North Down,2010,2,2010 Q2,269.0,184800.28,3.46,178620.03
Ards and North Down,2010,3,2010 Q3,286.0,187333.11,3.09,181718.02
Ards and North Down,2010,4,2010 Q4,305.0,168091.6,3.38,162595.86
Ards and North Down,2011,1,2011 Q1,235.0,161564.04,4.12,155171.0
Ards and North Down,2011,2,2011 Q2,294.0,149338.88,4.38,143072.31
Ards and North Down,2011,3,2011 Q3,357.0,149930.6,4.71,143186.52
Ards and North Down,2011,4,2011 Q4,342.0,155207.43,4.65,148310.97
Ards and North Down,2012,1,2012 Q1,359.0,145515.88,3.49,140608.64
Ards and North Down,2012,2,2012 Q2,315.0,147345.39,2.76,143387.88
Ards and North Down,2012,3,2012 Q3,411.0,150822.86,2.41,147273.57
Ards and North Down,2012,4,2012 Q4,424.0,145005.49,2.67,141234.53
Ards and North Down,2013,1,2013 Q1,420.0,132924.96,2.78,129329.6
Ards and North Down,2013,2,2013 Q2,466.0,134696.72,2.68,131181.07
Ards and North Down,2013,3,2013 Q3,491.0,135750.75,2.71,132168.97
Ards and North Down,2013,4,2013 Q4,633.0,139526.77,2.1,136656.97
Ards and North Down,2014,1,2014 Q1,565.0,144543.35,1.74,142071.31
Ards and North Down,2014,2,2014 Q2,645.0,149835.8,1.72,147302.2
Ards and North Down,2014,3,2014 Q3,702.0,155911.37,1.46,153667.82
Ards and North Down,2014,4,2014 Q4,670.0,159415.12,0.94,157930.57
Ards and North Down,2015,1,2015 Q1,494.0,171369.18,0.1,171197.98
Ards and North Down,2015,2,2015 Q2,599.0,178637.23,-0.02,178672.96
Ards and North Down,2015,3,2015 Q3,693.0,184807.41,0.01,184788.93
Ards and North Down,2015,4,2015 Q4,672.0,184397.87,0.07,184268.88
Ards and North Down,2016,1,2016 Q1,638.0,172072.24,0.35,171472.09
Ards and North Down,2016,2,2016 Q2,575.0,171469.38,0.35,170871.33
Ards and North Down,2016,3,2016 Q3,716.0,158793.44,0.73,157642.65
Ards and North Down,2016,4,2016 Q4,698.0,156278.13,1.21,154409.77
Ards and North Down,2017,1,2017 Q1,541.0,157848.15,2.14,154540.97
Ards and North Down,2017,2,2017 Q2,709.0,160546.44,2.74,156264.78
Ards and North Down,2017,3,2017 Q3,680.0,156400.47,2.82,152110.94
Ards and North Down,2017,4,2017 Q4,760.0,156896.03,3.02,152296.67
Ards and North Down,2018,1,2018 Q1,588.0,160129.29,2.72,155889.11
Ards and North Down,2018,2,2018 Q2,704.0,162127.11,2.42,158296.34
Ards and North Down,2018,3,2018 Q3,760.0,161989.34,2.52,158007.55
Ards and North Down,2018,4,2018 Q4,751.0,163378.13,2.27,159751.76
Ards and North Down,2019,1,2019 Q1,551.0,164488.98,1.88,161453.65
Ards and North Down,2019,2,2019 Q2,676.0,166778.05,2.05,163427.78
Ards and North Down,2019,3,2019 Q3,843.0,165360.28,1.83,162388.57
Ards and North Down,2019,4,2019 Q4,843.0,172469.94,1.41,170071.93
Ards and North Down,2020,1,2020 Q1,558.0,171785.04,1.67,168963.35
Ards and North Down,2020,2,2020 Q2,230.0,165659.83,0.62,164639.07
Ards and North Down,2020,3,2020 Q3,622.0,171901.45,0.6,170876.19
Ards and North Down,2020,4,2020 Q4,0.0,174591.24,0.53,173670.78
Ards and North Down,2021,1,2021 Q1,976.0,187135.36,0.61,186000.76
Ards and North Down,2021,2,2021 Q2,0.0,192721.65,2.05,188850.22
Ards and North Down,2021,3,2021 Q3,0.0,199757.1,2.77,194372.97
Ards and North Down,2021,4,2021 Q4,752.0,200725.41,4.91,191331.06
Ards and North Down,2022,1,2022 Q1,692.0,211781.85,6.22,199380.39
Ards and North Down,2022,2,2022 Q2,750.0,219701.86,9.17,201247.47
Ards and North Down,2022,3,2022 Q3,804.0,219772.97,10.02,199757.29
Ards and North Down,2022,4,2022 Q4,724.0,220598.4,10.75,199185.91
Ards and North Down,2023,1,2023 Q1,528.0,205845.47,10.18,186826.53
Ards and North Down,2023,2,2023 Q2,602.0,219033.44,8.43,202004.46
Ards and North Down,2023,3,2023 Q3,693.0,219400.71,6.71,205604.64
Ards and North Down,2023,4,2023 Q4,658.0,220615.13,4.18,211763.42
Ards and North Down,2024,1,2024 Q1,531.0,231362.01,3.54,223451.82
Ards and North Down,2024,2,2024 Q2,674.0,235088.1,2.1,230252.79
Ards and North Down,2024,3,2024 Q3,755.0,242887.34,2.04,238031.5
Ards and North Down,2024,4,2024 Q4,818.0,248635.74,2.47,242642.47
Ards and North Down,2025,1,2025 Q1,838.0,250494.45,2.8,243671.64
Ards and North Down,2025,2,2025 Q2,590.0,249251.99,3.49,240846.45
Ards and North Down,2025,3,2025 Q3,738.0,257203.94,3.8,247788.0
"Armagh City, Banbridge and Craigavon",2010,1,2010 Q1,261.0,133758.52,3.28,129510.57
"Armagh City, Banbridge and Craigavon",2010,2,2010 Q2,298.0,134648.81,3.46,130145.77
"Armagh City, Banbridge and Craigavon",2010,3,2010 Q3,224.0,138581.83,3.09,134428.0
"Armagh City, Banbridge and Craigavon",2010,4,2010 Q4,299.0,129146.34,3.38,124923.91
"Armagh City, Banbridge and Craigavon",2011,1,2011 Q1,254.0,125316.91,4.12,120358.15
"Armagh City, Banbridge and Craigavon",2011,2,2011 Q2,288.0,112749.61,4.38,108018.4
"Armagh City, Banbridge and Craigavon",2011,3,2011 Q3,347.0,115894.49,4.71,110681.4
"Armagh City, Banbridge and Craigavon",2011,4,2011 Q4,327.0,112753.37,4.65,107743.31
"Armagh City, Banbridge and Craigavon",2012,1,2012 Q1,337.0,111096.16,3.49,107349.66
"Armagh City, Banbridge and Craigavon",2012,2,2012 Q2,343.0,113590.72,2.76,110539.82
"Armagh City, Banbridge and Craigavon",2012,3,2012 Q3,398.0,108061.42,2.41,105518.43
"Armagh City, Banbridge and Craigavon",2012,4,2012 Q4,441.0,103178.53,2.67,100495.31
"Armagh City, Banbridge and Craigavon",2013,1,2013 Q1,373.0,98642.59,2.78,95974.5
"Armagh City, Banbridge and Craigavon",2013,2,2013 Q2,407.0,100537.31,2.68,97913.24
"Armagh City, Banbridge and Craigavon",2013,3,2013 Q3,434.0,100981.5,2.71,98317.11
"Armagh City, Banbridge and Craigavon",2013,4,2013 Q4,564.0,106341.78,2.1,104154.53
"Armagh City, Banbridge and Craigavon",2014,1,2014 Q1,437.0,108859.57,1.74,106997.81
"Armagh City, Banbridge and Craigavon",2014,2,2014 Q2,558.0,112920.77,1.72,111011.37
"Armagh City, Banbridge and Craigavon",2014,3,2014 Q3,552.0,118702.74,1.46,116994.62
"Armagh City, Banbridge and Craigavon",2014,4,2014 Q4,688.0,122133.23,0.94,120995.87
"Armagh City, Banbridge and Craigavon",2015,1,2015 Q1,515.0,130803.82,0.1,130673.15
"Armagh City, Banbridge and Craigavon",2015,2,2015 Q2,566.0,137748.31,-0.02,137775.87
