County,Year,Quarter,Period,Inflation_Rate,Region,is_ni,transaction_count,avg_price,price_qoq_pct,price_yoy_pct,real_price_qoq_pct,real_price_yoy_pct
Antrim and Newtownabbey,2023,2,2023 Q2,8.43,Northern Ireland,True,482.0,192011.56,2.1426753641592637,-0.0817043078376489,-6.287324635840736,-8.511704307837649
Antrim and Newtownabbey,2023,3,2023 Q3,6.71,Northern Ireland,True,553.0,201799.98,5.097828484909983,2.4358932969152924,-1.6121715150900169,-4.274106703084708
Antrim and Newtownabbey,2023,4,2023 Q4,4.18,Northern Ireland,True,574.0,197894.16,-1.9354907765600449,2.206089813759915,-6.115490776560044,-1.9739101862400847
Antrim and Newtownabbey,2024,1,2024 Q1,3.54,Northern Ireland,True,451.0,202637.14,2.396725603221439,7.795070295463957,-1.143274396778561,4.255070295463957
Antrim and Newtownabbey,2024,2,2024 Q2,2.1,Northern Ireland,True,511.0,209440.2,3.357262148488682,9.076870163442251,1.257262148488682,6.976870163442252
Antrim and Newtownabbey,2024,3,2024 Q3,2.04,Northern Ireland,True,631.0,217966.38,4.070937670991515,8.011100893072442,2.0309376709915146,5.971100893072442
Antrim and Newtownabbey,2024,4,2024 Q4,2.47,Northern Ireland,True,613.0,223921.74,2.732237879988641,13.15227291194443,0.2622378799886413,10.682272911944429
Antrim and Newtownabbey,2025,1,2025 Q1,2.8,Northern Ireland,True,599.0,227086.13,1.413167832654394,12.065404199842146,-1.386832167345606,9.265404199842145
Antrim and Newtownabbey,2025,2,2025 Q2,3.49,Northern Ireland,True,437.0,223124.58,-1.7445142950826664,6.533788642295013,-5.234514295082667,3.043788642295013
Antrim and Newtownabbey,2025,3,2025 Q3,3.8,Northern Ireland,True,530.0,226448.25,1.4896028039582232,3.891366182252498,-2.3103971960417766,0.0913661822524982
Ards and North Down,2010,1,2010 Q1,3.28,Northern Ireland,True,286.0,177829.33,,,,
Ards and North Down,2010,2,2010 Q2,3.46,Northern Ireland,True,269.0,184800.28,3.920022641934273,,0.4600226419342732,
Ards and North Down,2010,3,2010 Q3,3.09,Northern Ireland,True,286.0,187333.11,1.3705769276972868,,-1.719423072302713,
Ards and North Down,2010,4,2010 Q4,3.38,Northern Ireland,True,305.0,168091.6,-10.2712809283954,,-13.651280928395398,
Ards and North Down,2011,1,2011 Q1,4.12,Northern Ireland,True,235.0,161564.04,-3.8833350387526777,-9.146573290244064,-8.003335038752677,-13.266573290244065
Ards and North Down,2011,2,2011 Q2,4.38,Northern Ireland,True,294.0,149338.88,-7.5667580483875,-19.189040189765937,-11.9467580483875,-23.569040189765936
Ards and North Down,2011,3,2011 Q3,4.71,Northern Ireland,True,357.0,149930.6,0.3962263544496913,-19.965776471655214,-4.313773645550309,-24.67577647165522
Ards and North Down,2011,4,2011 Q4,4.65,Northern Ireland,True,342.0,155207.43,3.5195150289533794,-7.66496957611208,-1.130484971046621,-12.31496957611208
Ards and North Down,2012,1,2012 Q1,3.49,Northern Ireland,True,359.0,145515.88,-6.244256476639032,-9.933002418112348,-9.734256476639032,-13.423002418112349
Ards and North Down,2012,2,2012 Q2,2.76,Northern Ireland,True,315.0,147345.39,1.2572579707451847,-1.3348767581489729,-1.502742029254815,-4.094876758148972
Ards and North Down,2012,3,2012 Q3,2.41,Northern Ireland,True,411.0,150822.86,2.3600806241715238,0.5951153400306497,-0.0499193758284768,-1.8148846599693504
Ards and North Down,2012,4,2012 Q4,2.67,Northern Ireland,True,424.0,145005.49,-3.857087712035168,-6.573100269748688,-6.527087712035168,-9.243100269748687
Ards and North Down,2013,1,2013 Q1,2.78,Northern Ireland,True,420.0,132924.96,-8.331084567901536,-8.652608911137404,-11.111084567901536,-11.432608911137404
Ards and North Down,2013,2,2013 Q2,2.68,Northern Ireland,True,466.0,134696.72,1.332902413512116,-8.58436765480074,-1.3470975864878842,-11.26436765480074
Ards and North Down,2013,3,2013 Q3,2.71,Northern Ireland,True,491.0,135750.75,0.7825209106799402,-9.993253012175996,-1.92747908932006,-12.703253012175995
Ards and North Down,2013,4,2013 Q4,2.1,Northern Ireland,True,633.0,139526.77,2.781583158840739,-3.778284532537357,0.6815831588407391,-5.878284532537357
Ards and North Down,2014,1,2014 Q1,1.74,Northern Ireland,True,565.0,144543.35,3.595424734622621,8.740563096652432,1.855424734622621,7.000563096652432
Ards and North Down,2014,2,2014 Q2,1.72,Northern Ireland,True,645.0,149835.8,3.6614967066973314,11.23938281496386,1.9414967066973317,9.51938281496386
Ards and North Down,2014,3,2014 Q3,1.46,Northern Ireland,True,702.0,155911.37,4.054818674842742,14.851203400349531,2.5948186748427418,13.391203400349532
Ards and North Down,2014,4,2014 Q4,0.94,Northern Ireland,True,670.0,159415.12,2.24727035622867,14.254146354853624,1.30727035622867,13.314146354853625
Ards and North Down,2015,1,2015 Q1,0.1,Northern Ireland,True,494.0,171369.18,7.498698994173192,18.55902052913536,7.398698994173192,18.45902052913536
Ards and North Down,2015,2,2015 Q2,-0.02,Northern Ireland,True,599.0,178637.23,4.241165185011697,19.22199501053823,4.261165185011697,19.24199501053823
Ards and North Down,2015,3,2015 Q3,0.01,Northern Ireland,True,693.0,184807.41,3.454028032118494,18.533632280955526,3.444028032118495,18.523632280955525
Ards and North Down,2015,4,2015 Q4,0.07,Northern Ireland,True,672.0,184397.87,-0.221603668381054,15.671505939963538,-0.291603668381054,15.601505939963538
Ards and North Down,2016,1,2016 Q1,0.35,Northern Ireland,True,638.0,172072.24,-6.684258337691218,0.4102604680724875,-7.0342583376912176,0.0602604680724875
Ards and North Down,2016,2,2016 Q2,0.35,Northern Ireland,True,575.0,171469.38,-0.3503528518022381,-4.012517435475238,-0.700352851802238,-4.362517435475238
Ards and North Down,2016,3,2016 Q3,0.73,Northern Ireland,True,716.0,158793.44,-7.392538539534,-14.076259171642524,-8.122538539534,-14.806259171642523
Ards and North Down,2016,4,2016 Q4,1.21,Northern Ireland,True,698.0,156278.13,-1.5840137980510982,-15.24949284934798,-2.794013798051098,-16.459492849347978
Ards and North Down,2017,1,2017 Q1,2.14,Northern Ireland,True,541.0,157848.15,1.004631934103628,-8.2663479013233,-1.135368065896372,-10.4063479013233
Ards and North Down,2017,2,2017 Q2,2.74,Northern Ireland,True,709.0,160546.44,1.7094213647736778,-6.370198574229402,-1.0305786352263224,-9.110198574229402
Ards and North Down,2017,3,2017 Q3,2.82,Northern Ireland,True,680.0,156400.47,-2.582411668548989,-1.5069703131313283,-5.402411668548989,-4.326970313131328
Ards and North Down,2017,4,2017 Q4,3.02,Northern Ireland,True,760.0,156896.03,0.3168532677683133,0.3953848180804353,-2.7031467322316867,-2.6246151819195647
Ards and North Down,2018,1,2018 Q1,2.72,Northern Ireland,True,588.0,160129.29,2.06076597349214,1.44514839103278,-0.65923402650786,-1.2748516089672202
Ards and North Down,2018,2,2018 Q2,2.42,Northern Ireland,True,704.0,162127.11,1.24762933751843,0.9845562442866828,-1.17237066248157,-1.435443755713317
Ards and North Down,2018,3,2018 Q3,2.52,Northern Ireland,True,760.0,161989.34,-0.0849765347695319,3.5734355529750017,-2.604976534769532,1.0534355529750017
Ards and North Down,2018,4,2018 Q4,2.27,Northern Ireland,True,751.0,163378.13,0.8573341924845268,4.131462089894811,-1.4126658075154732,1.8614620898948109
Ards and North Down,2019,1,2019 Q1,1.88,Northern Ireland,True,551.0,164488.98,0.6799257648499202,2.722606214016188,-1.2000742351500795,0.8426062140161878
Ards and North Down,2019,2,2019 Q2,2.05,Northern Ireland,True,676.0,166778.05,1.3916251410884597,2.8686997504612237,-0.6583748589115404,0.8186997504612235
Ards and North Down,2019,3,2019 Q3,1.83,Northern Ireland,True,843.0,165360.28,-0.8500938822584847,2.0809640930693263,-2.6800938822584848,0.2509640930693262
Ards and North Down,2019,4,2019 Q4,1.41,Northern Ireland,True,843.0,172469.94,4.299496832008276,5.564888029995196,2.889496832008276,4.154888029995196
Ards and North Down,2020,1,2020 Q1,1.67,Northern Ireland,True,558.0,171785.04,-0.3971126794617086,4.435591977043085,-2.0671126794617085,2.765591977043085
Ards and North Down,2020,2,2020 Q2,0.62,Northern Ireland,True,230.0,165659.83,-3.5656248064441565,-0.6704839155992071,-4.185624806444157,-1.2904839155992072
Ards and North Down,2020,3,2020 Q3,0.6,Northern Ireland,True,622.0,171901.45,3.7677329501062617,3.955708105961131,3.1677329501062617,3.355708105961131
Ards and North Down,2020,4,2020 Q4,0.53,Northern Ireland,True,1052.0,174591.24,1.564727929869103,1.2299534631947884,1.034727929869103,0.6999534631947884
Ards and North Down,2021,1,2021 Q1,0.61,Northern Ireland,True,976.0,187135.36,7.184850740506787,8.935772288436738,6.574850740506787,8.325772288436738
Ards and North Down,2021,2,2021 Q2,2.05,Northern Ireland,True,1023.0,192721.65,2.985160046716984,16.33577675408697,0.9351600467169838,14.285776754086973
Ards and North Down,2021,3,2021 Q3,2.77,Northern Ireland,True,1001.0,199757.1,3.650575843450921,16.204429921911647,0.8805758434509205,13.434429921911647
Ards and North Down,2021,4,2021 Q4,4.91,Northern Ireland,True,752.0,200725.41,0.4847437212494476,14.968775065690586,-4.4252562787505525,10.058775065690586
Ards and North Down,2022,1,2022 Q1,6.22,Northern Ireland,True,692.0,211781.85,5.508241333272146,13.1704077732824,-0.7117586667278539,6.950407773282399
Ards and North Down,2022,2,2022 Q2,9.17,Northern Ireland,True,750.0,219701.86,3.739701962184183,13.999573997005532,-5.430298037815817,4.829573997005532
Ards and North Down,2022,3,2022 Q3,10.02,Northern Ireland,True,804.0,219772.97,0.0323665898868563,10.020104416814224,-9.987633410113144,0.0001044168142243
Ards and North Down,2022,4,2022 Q4,10.75,Northern Ireland,True,724.0,220598.4,0.3755830391699133,9.900585082875146,-10.374416960830086,-0.8494149171248537
Ards and North Down,2023,1,2023 Q1,10.18,Northern Ireland,True,528.0,205845.47,-6.687686764727207,-2.8030636241963114,-16.867686764727207,-12.983063624196312
Ards and North Down,2023,2,2023 Q2,8.43,Northern Ireland,True,602.0,219033.44,6.406733167360934,-0.3042395726645108,-2.0232668326390657,-8.73423957266451
Ards and North Down,2023,3,2023 Q3,6.71,Northern Ireland,True,693.0,219400.71,0.167677592973936,-0.1693838873816022,-6.542322407026064,-6.879383887381602
Ards and North Down,2023,4,2023 Q4,4.18,Northern Ireland,True,658.0,220615.13,0.5535168960939085,0.0075839171997715,-3.626483103906091,-4.172416082800228
Ards and North Down,2024,1,2024 Q1,3.54,Northern Ireland,True,531.0,231362.01,4.871325008398109,12.395968684664282,1.3313250083981083,8.855968684664283
Ards and North Down,2024,2,2024 Q2,2.1,Northern Ireland,True,674.0,235088.1,1.6105020871836295,7.329775763919888,-0.4894979128163705,5.229775763919887
Ards and North Down,2024,3,2024 Q3,2.04,Northern Ireland,True,755.0,242887.34,3.3175817916772488,10.704901547492709,1.2775817916772487,8.664901547492708
Ards and North Down,2024,4,2024 Q4,2.47,Northern Ireland,True,818.0,248635.74,2.366693957783061,12.701127977940583,-0.1033060422169387,10.231127977940584
Ards and North Down,2025,1,2025 Q1,2.8,Northern Ireland,True,838.0,250494.45,0.7475634838338241,8.269482098638402,-2.052436516166176,5.4694820986384025
Ards and North Down,2025,2,2025 Q2,3.49,Northern Ireland,True,590.0,249251.99,-0.4960030052562181,6.024928526794837,-3.9860030052562174,2.534928526794837
Ards and North Down,2025,3,2025 Q3,3.8,Northern Ireland,True,738.0,257203.94,3.190325581753628,5.894337679353723,-0.6096744182463718,2.094337679353723
"Armagh City, Banbridge and Craigavon",2010,1,2010 Q1,3.28,Northern Ireland,True,261.0,133758.52,,,,
"Armagh City, Banbridge and Craigavon",2010,2,2010 Q2,3.46,Northern Ireland,True,298.0,134648.81,0.6655949841550379,,-2.794405015844962,
"Armagh City, Banbridge and Craigavon",2010,3,2010 Q3,3.09,Northern Ireland,True,224.0,138581.83,2.920946720583717,,-0.1690532794162829,
"Armagh City, Banbridge and Craigavon",2010,4,2010 Q4,3.38,Northern Ireland,True,299.0,129146.34,-6.808605428287384,,-10.188605428287383,
"Armagh City, Banbridge and Craigavon",2011,1,2011 Q1,4.12,Northern Ireland,True,254.0,125316.91,-2.965186624723548,-6.311082090322162,-7.085186624723548,-10.431082090322162
"Armagh City, Banbridge and Craigavon",2011,2,2011 Q2,4.38,Northern Ireland,True,288.0,112749.61,-10.028415159614134,-16.263938760394538,-14.408415159614131,-20.643938760394537
"Armagh City, Banbridge and Craigavon",2011,3,2011 Q3,4.71,Northern Ireland,True,347.0,115894.49,2.7892602023191104,-16.371078372972836,-1.920739797680889,-21.08107837297284
"Armagh City, Banbridge and Craigavon",2011,4,2011 Q4,4.65,Northern Ireland,True,327.0,112753.37,-2.710327298562687,-12.693329133446609,-7.360327298562687,-17.34332913344661
"Armagh City, Banbridge and Craigavon",2012,1,2012 Q1,3.49,Northern Ireland,True,337.0,111096.16,-1.4697653826222568,-11.34783007337158,-4.9597653826222565,-14.83783007337158
"Armagh City, Banbridge and Craigavon",2012,2,2012 Q2,2.76,Northern Ireland,True,343.0,113590.72,2.245406141850448,0.7459981458028953,-0.5145938581495519,-2.0140018541971045
"Armagh City, Banbridge and Craigavon",2012,3,2012 Q3,2.41,Northern Ireland,True,398.0,108061.42,-4.867739195596266,-6.758794141119228,-7.277739195596266,-9.168794141119228
"Armagh City, Banbridge and Craigavon",2012,4,2012 Q4,2.67,Northern Ireland,True,441.0,103178.53,-4.518624685849959,-8.491843747109284,-7.188624685849959,-11.161843747109284
"Armagh City, Banbridge and Craigavon",2013,1,2013 Q1,2.78,Northern Ireland,True,373.0,98642.59,-4.396205295811062,-11.209721380108917,-7.176205295811062,-13.989721380108916
"Armagh City, Banbridge and Craigavon",2013,2,2013 Q2,2.68,Northern Ireland,True,407.0,100537.31,1.9207930367602928,-11.491616568677443,-0.7592069632397069,-14.171616568677443
"Armagh City, Banbridge and Craigavon",2013,3,2013 Q3,2.71,Northern Ireland,True,434.0,100981.5,0.441816078031132,-6.55175547387773,-2.268183921968868,-9.26175547387773
"Armagh City, Banbridge and Craigavon",2013,4,2013 Q4,2.1,Northern Ireland,True,564.0,106341.78,5.3081802112268095,3.0658025463243144,3.2081802112268094,0.9658025463243144
"Armagh City, Banbridge and Craigavon",2014,1,2014 Q1,1.74,Northern Ireland,True,437.0,108859.57,2.3676395110181714,10.357574755488486,0.6276395110181714,8.617574755488485
"Armagh City, Banbridge and Craigavon",2014,2,2014 Q2,1.72,Northern Ireland,True,558.0,112920.77,3.730677973466179,12.317278033398749,2.010677973466179,10.597278033398748
"Armagh City, Banbridge and Craigavon",2014,3,2014 Q3,1.46,Northern Ireland,True,552.0,118702.74,5.120377765755579,17.548996598386847,3.6603777657555794,16.088996598386846
"Armagh City, Banbridge and Craigavon",2014,4,2014 Q4,0.94,Northern Ireland,True,688.0,122133.23,2.889983836935861,14.849713818971244,1.949983836935861,13.909713818971245
"Armagh City, Banbridge and Craigavon",2015,1,2015 Q1,0.1,Northern Ireland,True,515.0,130803.82,7.099288211734023,20.158310380979817,6.999288211734023,20.058310380979812
"Armagh City, Banbridge and Craigavon",2015,2,2015 Q2,-0.02,Northern Ireland,True,566.0,137748.31,5.309088067917278,21.98669031392541,5.329088067917278,22.00669031392541
"Armagh City, Banbridge and Craigavon",2015,3,2015 Q3,0.01,Northern Ireland,True,613.0,143071.67,3.864555579665563,20.529374469367777,3.854555579665563,20.519374469367776
"Armagh City, Banbridge and Craigavon",2015,4,2015 Q4,0.07,Northern Ireland,True,683.0,145770.02,1.8860127934482,19.353283295627243,1.8160127934481995,19.283283295627243
"Armagh City, Banbridge and Craigavon",2016,1,2016 Q1,0.35,Northern Ireland,True,692.0,137799.81,-5.467660634196248,5.348460006749023,-5.817660634196248,4.998460006749023
"Armagh City, Banbridge and Craigavon",2016,2,2016 Q2,0.35,Northern Ireland,True,534.0,139400.64,1.1617069718746542,1.1995283281515556,0.8117069718746542,0.8495283281515557
